id,UID,name,height,weight,BMI
1,akshay,akshay kumar,1.78,80,25.2493372
2,ja,john abraham,1.82,94,28.37821519
3,varun,varun dhawan,1.68,78,27.63605442
4,tiger,Tiger shroff,1.75,72,23.51020408
5,salman,Salman khan,1.74,75,24.77209671
6,srk,Shahrukh khan,1.73,75,25.05930703
7,ayushman,ayushman khurana,1.68,72,25.51020408
8,vikky,vicky kaushal,1.83,80,23.88844098
9,rajkumar,rajkumar rao,1.7,72,24.91349481
10,nawaz,nawazuddin,1.68,60,21.2585034
11,manoj,manoj bajpayee,1.75,68,22.20408163
12,anurag,Anurag kashyap,1.78,84,26.51180407
13,pankaj,Pankaj Tripati,1.75,70,22.85714286
14,kirron,kirron kher,1.65,68,24.97704316
15,richa,richa chadhha,1.65,57,20.93663912
16,kalki,kalki koechin,1.7,53,18.33910035
17,radhika,Radhika apte,1.6,55,21.484375
18,anupam,anupam kher,1.68,70,24.8015873
19,supriya,supriya pathak,1.63,72,27.09925101
20,ratna,ratna pathak,1.63,55,20.70081674
21,amir,amir khan,1.63,70,26.34649403
22,arshad,arshad warsi,1.68,70,24.8015873
